date,"U.S. Field"
1981-01-15,264736
1981-02-15,240914
1981-03-15,267003
1981-04-15,256708
1981-05-15,263541
1981-06-15,258859
1981-07-15,263498
1981-08-15,266069
1981-09-15,258120
1981-10-15,265450
1981-11-15,257579
1981-12-15,266147
1982-01-15,263793
1982-02-15,243661
1982-03-15,268687
1982-04-15,257738
1982-05-15,269186
1982-06-15,259383
1982-07-15,268398
1982-08-15,267643
1982-09-15,261028
1982-10-15,269745
1982-11-15,260918
1982-12-15,266535
1983-01-15,269604
1983-02-15,245237
1983-03-15,269706
1983-04-15,263269
1983-05-15,267575
1983-06-15,260014
1983-07-15,267717
1983-08-15,269053
1983-09-15,263530
1983-10-15,271890
1983-11-15,263111
1983-12-15,260293
1984-01-15,274902
1984-02-15,257357
1984-03-15,268829
1984-04-15,265872
1984-05-15,277616
1984-06-15,265570
1984-07-15,275432
1984-08-15,273091
1984-09-15,269798
1984-10-15,276075
1984-11-15,269357
1984-12-15,275797
1985-01-15,270926
1985-02-15,252695
1985-03-15,281943
1985-04-15,271299
1985-05-15,283093
1985-06-15,270653
1985-07-15,277410
1985-08-15,272881
1985-09-15,268610
1985-10-15,278068
1985-11-15,267059
1985-12-15,279916
1986-01-15,283248
1986-02-15,256855
1986-03-15,279413
1986-04-15,265917
1986-05-15,273964
1986-06-15,258700
1986-07-15,268448
1986-08-15,259580
1986-09-15,249843
1986-10-15,260984
1986-11-15,252374
1986-12-15,258926
1987-01-15,262888
1987-02-15,234880
1987-03-15,262398
1987-04-15,254945
1987-05-15,258426
1987-06-15,248356
1987-07-15,255782
1987-08-15,254508
1987-09-15,246163
1987-10-15,259272
1987-11-15,251915
1987-12-15,257844
1988-01-15,255743
1988-02-15,242848
1988-03-15,259587
1988-04-15,248629
1988-05-15,255089
1988-06-15,245102
1988-07-15,249229
1988-08-15,250459
1988-09-15,236847
1988-10-15,248704
1988-11-15,240700
1988-12-15,246189
1989-01-15,246056
1989-02-15,218076
1989-03-15,234822
1989-04-15,233147
1989-05-15,242303
1989-06-15,228731
1989-07-15,230766
1989-08-15,233878
1989-09-15,226436
1989-10-15,231036
1989-11-15,226082
1989-12-15,227439
1990-01-15,233931
1990-02-15,209923
1990-03-15,230434
1990-04-15,222215
1990-05-15,227179
1990-06-15,213175
1990-07-15,222371
1990-08-15,225886
1990-09-15,216715
1990-10-15,233799
1990-11-15,221598
1990-12-15,227463
1991-01-15,232498
1991-02-15,213836
1991-03-15,233926
1991-04-15,225256
1991-05-15,229670
1991-06-15,219610
1991-07-15,227756
1991-08-15,226801
1991-09-15,221029
1991-10-15,230557
1991-11-15,219833
1991-12-15,226267
1992-01-15,228178
1992-02-15,214269
1992-03-15,227798
1992-04-15,218775
1992-05-15,222227
1992-06-15,215019
1992-07-15,221064
1992-08-15,214575
1992-09-15,210904
1992-10-15,220898
1992-11-15,210724
1992-12-15,220200
1993-01-15,215791
1993-02-15,194393
1993-03-15,216198
1993-04-15,206439
1993-05-15,212255
1993-06-15,203842
1993-07-15,207339
1993-08-15,209492
1993-09-15,201347
1993-10-15,212003
1993-11-15,207349
1993-12-15,212585
1994-01-15,211320
1994-02-15,189569
1994-03-15,209114
1994-04-15,198363
1994-05-15,207334
1994-06-15,198318
1994-07-15,201527
1994-08-15,202869
1994-09-15,198264
1994-10-15,206398
1994-11-15,198850
1994-12-15,209550
1995-01-15,207148
1995-02-15,190245
1995-03-15,204613
1995-04-15,198111
1995-05-15,205509
1995-06-15,197359
1995-07-15,199912
1995-08-15,199846
1995-09-15,192484
1995-10-15,199055
1995-11-15,197559
1995-12-15,202428
1996-01-15,201354
1996-02-15,190727
1996-03-15,203715
1996-04-15,193317
1996-05-15,198208
1996-06-15,193746
1996-07-15,196471
1996-08-15,197162
1996-09-15,194456
1996-10-15,200907
1996-11-15,194268
1996-12-15,201685
1997-01-15,198466
1997-02-15,182400
1997-03-15,200013
1997-04-15,193239
1997-05-15,200702
1997-06-15,193252
1997-07-15,198691
1997-08-15,196769
1997-09-15,194575
1997-10-15,200482
1997-11-15,193778
1997-12-15,202464
1998-01-15,202756
1998-02-15,181321
1998-03-15,198639
1998-04-15,194483
1998-05-15,196754
1998-06-15,188018
1998-07-15,192026
1998-08-15,192282
1998-09-15,173676
1998-10-15,190420
1998-11-15,184198
1998-12-15,187347
1999-01-15,184864
1999-02-15,167034
1999-03-15,182362
1999-04-15,176616
1999-05-15,182122
1999-06-15,172808
1999-07-15,179738
1999-08-15,179187
1999-09-15,174113
1999-10-15,184361
1999-11-15,178811
1999-12-15,184716
2000-01-15,179316
2000-02-15,169703
2000-03-15,183464
2000-04-15,175625
2000-05-15,181242
2000-06-15,174686
2000-07-15,177920
2000-08-15,179451
2000-09-15,172731
2000-10-15,180080
2000-11-15,174980
2000-12-15,181508
2001-01-15,179767
2001-02-15,161843
2001-03-15,182290
2001-04-15,175879
2001-05-15,180712
2001-06-15,172974
2001-07-15,178208
2001-08-15,177488
2001-09-15,171270
2001-10-15,178129
2001-11-15,176441
2001-12-15,182511
2002-01-15,182076
2002-02-15,164666
2002-03-15,182460
2002-04-15,175333
2002-05-15,183057
2002-06-15,176532
2002-07-15,178275
2002-08-15,179670
2002-09-15,162336
2002-10-15,166105
2002-11-15,168706
2002-12-15,177372
2003-01-15,178412
2003-02-15,161920
2003-03-15,179907
2003-04-15,171774
2003-05-15,175568
2003-06-15,169772
2003-07-15,170452
2003-08-15,172787
2003-09-15,168270
2003-10-15,174020
2003-11-15,166397
2003-12-15,172715
2004-01-15,173132
2004-02-15,161583
2004-03-15,174115
2004-04-15,166810
2004-05-15,172235
